i,alpha,mover,alpha_hat,alpha_centered,alpha_hat_centered
0,-0.560475646552213,TRUE,-1.03190050814771,-0.554736569075127,-0.499608905153508
1,-0.23017748948328,FALSE,-0.707937084579575,-0.224438412006194,-0.175645481585369
2,1.55870831414912,FALSE,1.13353178268701,1.56444739162621,1.66582338568121
3,0.070508391424576,FALSE,-0.348560429004066,0.076247468901662,0.18373117399014
4,0.129287735160946,FALSE,0.0511152515035133,0.135026812638032,0.58340685449772
5,1.71506498688328,FALSE,1.0430658079706,1.72080406436037,1.57535741096481
6,0.460916205989202,FALSE,-0.0658527075921636,0.466655283466288,0.466438895402043
7,-1.26506123460653,TRUE,-1.78954960274282,-1.25932215712944,-1.25725799974861
8,-0.686852851893526,FALSE,-0.937460215131612,-0.68111377441644,-0.405168612137406
9,-0.445661970099958,FALSE,-0.837287756241494,-0.439922892622872,-0.304996153247288
10,1.22408179743946,FALSE,0.955871431579984,1.22982087491655,1.48816303457419
11,0.359813827057364,FALSE,-0.6039981548727,0.36555290453445,-0.0717065518784937
12,0.400771450594052,TRUE,-0.27807424593423,0.406510528071138,0.254217357059976
13,0.11068271594512,FALSE,-0.0493606509614414,0.116421793422206,0.482930952032765
14,-0.555841134754075,FALSE,-0.792923867549212,-0.550102057276989,-0.260632264555006
15,1.78691313680308,FALSE,1.35734416361643,1.79265221428017,1.88963576661063
16,0.497850478229239,FALSE,-0.112317871727691,0.503589555706325,0.419973731266516
17,-1.96661715662964,FALSE,-2.87603668750595,-1.96087807915255,-2.34374508451174
18,0.701355901563686,TRUE,0.218259812495458,0.707094979040772,0.750551415489665
19,-0.472791407727934,FALSE,-0.690648324734657,-0.467052330250848,-0.158356721740451
20,-1.06782370598685,FALSE,-1.43780042147872,-1.06208462850976,-0.905508818484516
21,-0.217974914658295,FALSE,-0.848953647341429,-0.212235837181209,-0.316662044347223
22,-1.02600444830724,TRUE,-1.53166635734249,-1.02026537083015,-0.999374754348287
23,-0.72889122929114,FALSE,-1.38859149251489,-0.723152151814054,-0.856299889520683
24,-0.625039267849257,FALSE,-1.26069054298931,-0.619300190372171,-0.728398939995107
25,-1.68669331074241,FALSE,-2.24916801058679,-1.68095423326532,-1.71687640759258
26,0.837787044494525,FALSE,0.613558616886258,0.843526121971611,1.14585021988046
27,0.153373117836515,TRUE,-0.322136091247213,0.159112195313601,0.210155511746993
28,-1.13813693701195,FALSE,-2.14648109209305,-1.13239785953486,-1.61418948909884
29,1.25381492106993,FALSE,0.827915772923971,1.25955399854702,1.36020737591818
30,0.426464221476814,FALSE,0.121234085693594,0.4322032989539,0.6535256886878
31,-0.295071482992271,FALSE,-1.01997664095236,-0.289332405515185,-0.487685037958151
32,0.895125661045022,FALSE,0.477458572606397,0.900864738522108,1.0097501756006
33,0.878133487533042,FALSE,0.930402298652061,0.883872565010128,1.46269390164627
34,0.821581081637487,FALSE,0.0924019158903578,0.827320159114573,0.624693518884564
35,0.688640254100091,TRUE,0.658387361106702,0.694379331577177,1.19067896410091
36,0.553917653537589,FALSE,-0.0979030541300126,0.559656731014675,0.434388548864194
37,-0.0619117105767217,TRUE,-0.654469176870544,-0.0561726330996357,-0.122177573876338
38,-0.305962663739917,FALSE,-0.345882029624995,-0.300223586262831,0.186409573369211
39,-0.380471001012383,TRUE,-1.10116866901705,-0.374731923535297,-0.568877066022844
40,-0.694706978920513,TRUE,-1.46895427628245,-0.688967901443427,-0.936662673288239
41,-0.207917278019599,TRUE,-1.04357856633741,-0.202178200542513,-0.511286963343208
42,-1.26539635156826,FALSE,-1.83757178874381,-1.25965727409117,-1.30528018574961
43,2.16895596533851,FALSE,1.57718804631248,2.1746950428156,2.10947964930669
44,1.20796199830499,TRUE,0.73523034941579,1.21370107578208,1.26752195241
45,-1.12310858320335,FALSE,-2.09358787868374,-1.11736950572626,-1.56129627568953
46,-0.402884835299076,FALSE,-0.340319409703646,-0.39714575782199,0.191972193290561
47,-0.466655353623219,FALSE,-1.2013252038923,-0.460916276146133,-0.669033600898094
48,0.779965118336318,FALSE,0.375475612127375,0.785704195813404,0.907767215121581
49,-0.0833690664718293,TRUE,-0.314107555491103,-0.0776299889947433,0.218184047503103
50,0.253318513994755,TRUE,-0.130848001601396,0.259057591471841,0.40144360139281
51,-0.028546755348703,FALSE,-0.343044541139288,-0.022807677871617,0.189247061854918
52,-0.0428704572913161,TRUE,-0.864984234799903,-0.0371313798142301,-0.332692631805697
53,1.36860228401446,FALSE,0.726462437418484,1.37434136149155,1.25875404041269
54,-0.225770985659268,FALSE,-0.47929235713885,-0.220031908182182,0.0529992458553565
55,1.51647060442954,FALSE,0.77463528633688,1.52220968190663,1.30692688933109
56,-1.54875280423022,FALSE,-1.98138346278207,-1.54301372675313,-1.44909185978787
57,0.584613749636069,FALSE,-0.362297617586746,0.590352827113155,0.16999398540746
58,0.123854243844614,FALSE,-0.450617398912066,0.1295933213217,0.08167420408214
59,0.215941568743973,FALSE,-0.413470352900538,0.221680646221059,0.118821250093668
60,0.379639482759882,FALSE,0.0747428412904522,0.385378560236968,0.607034444284659
61,-0.502323453109302,TRUE,-0.974090136677859,-0.496584375632216,-0.441798533683652
62,-0.33320738366942,TRUE,-0.732868692288879,-0.327468306192334,-0.200577089294672
63,-1.01857538310709,FALSE,-1.75166739342849,-1.01283630563,-1.21937579043428
64,-1.07179122647558,FALSE,-1.37612639263215,-1.06605214899849,-0.843834789637947
65,0.303528641404258,FALSE,-0.00157592494130052,0.309267718881344,0.530715678052906
66,0.448209778629426,FALSE,0.0227973311435612,0.453948856106512,0.555088934137767
67,0.0530042267305042,FALSE,-0.624650290684249,0.0587433042075902,-0.0923586876900425
68,0.922267467879738,FALSE,0.800983094863429,0.928006545356824,1.33327469785764
