j,psi,psi_hat,psi_centered,psi_hat_centered
0,-0.41814837018148,0,-0.408620419095955,-0.546010701573902
1,-0.110286496514231,0.613906148297338,-0.100758545428706,0.0678954467234354
2,-1.05175738361197,-0.443314481456796,-1.04222943252645,-0.989325183030699
3,-0.833903771511327,-0.203371263669341,-0.824375820425802,-0.749381965243243
4,-0.548981428986506,0.0990048328306609,-0.539453477900981,-0.447005868743242
5,-0.83281060311074,-0.170045594400314,-0.823282652025215,-0.716056295974217
6,-0.0247503144612612,0.532688291645081,-0.0152223633757362,-0.0133224099288213
7,0.779651463123096,1.35417872965282,0.789179414208621,0.808168028078917
8,-0.202311970022416,0.500145192359124,-0.192784018936891,-0.0458655092147781
9,0.393013049854174,1.29950002916628,0.402541000939699,0.753489327592375
10,0.369564581240283,0.909555758780479,0.379092532325808,0.363545057206577
11,0.518552695513846,1.10862804163458,0.528080646599371,0.562617340060679
12,-0.566854711560217,-0.0832316415118634,-0.557326760474692,-0.629242343085766
13,-0.602654907085076,-0.164262406732279,-0.593126955999551,-0.710273108306181
14,0.834352860054381,1.22559555326455,0.843880811139906,0.67958485169065
15,0.768078966475773,1.25329740415601,0.777606917561298,0.707286702582106
16,-0.0484666773526943,0.629859710943569,-0.0389387262671693,0.0838490093696665
17,0.0663868446202338,0.726977559375725,0.0759147957057588,0.180966857801823
18,-0.263120329367906,0.329375777207811,-0.253592378282381,-0.216634924366092
19,-0.632138578971698,-0.120537214309091,-0.622610627886173,-0.666547915882993
20,0.392625776515222,0.932509043995881,0.402153727600747,0.386498342421979
21,-0.744339618353948,-0.412176500391904,-0.734811667268423,-0.958187201965806
22,-0.212228460264459,0.531347864207602,-0.202700509178934,-0.0146628373663009
23,-0.683416550685872,-0.398755375591411,-0.673888599600347,-0.944766077165313
24,0.404378872107226,0.888985652753977,0.413906823192751,0.342974951180074
25,-0.929092836921702,-0.539353249385838,-0.919564885836177,-1.08536395095974
26,-0.522033349630082,0.121892121552298,-0.512505398544557,-0.424118580021604
27,0.0690652752495962,0.538363966061089,0.0785932263351212,-0.00764673551281314
28,0.402472426079357,1.20591215190018,0.412000377164882,0.659901450326275
29,-0.970440792927081,-0.435903125132382,-0.960912841841556,-0.981913826706285
30,0.824882968970494,1.24793135521677,0.834410920056019,0.701920653642864
31,0.678001858986961,1.57573054193633,0.687529810072486,1.02971984036243
32,0.411508557084285,0.945748125408346,0.42103650816981,0.399737423834444
33,0.157783353970333,0.952785754359932,0.167311305055858,0.406775052786029
34,-0.172412791065773,0.615760738949529,-0.162884839980248,0.0697500373756265
35,0.0197245707266029,0.812059529433579,0.0292525218121279,0.266048827859677
36,-0.266341678274648,0.399957280552462,-0.256813727189123,-0.14605342102144
37,-0.078209693894614,0.362201318615488,-0.068681742809089,-0.183809382958414
38,0.627320695579756,1.50344470361181,0.636848646665281,0.957434002037908
39,-0.248547042016421,0.243856119799781,-0.239019090930896,-0.302154581774121
40,-0.343926145540147,0.362351383388044,-0.334398194454622,-0.183659318185859
41,0.341483988315822,0.699229414530599,0.351011939401347,0.153218712956696
42,-0.709476722521883,0.00618230337116986,-0.699948771436358,-0.539828398202733
43,0.00515493613084607,0.54683411799282,0.0146828872163711,0.000823416418917256
44,0.413628782604703,0.96438461411757,0.423156733690228,0.418373912543667
45,0.327010608815947,0.930896158944833,0.336538559901472,0.38488545737093
46,0.0641354162317613,0.690795268887981,0.0736633673172864,0.144784567314079
47,0.104418849574601,0.756440146136327,0.113946800660126,0.210429444562425
48,0.115549891513942,0.504519047243682,0.125077842599467,-0.0414916543302202
49,0.141965080733145,0.668177014024422,0.15149303181867,0.12216631245052
50,0.26811051948065,0.912732055243414,0.277638470566175,0.366721353669511
51,-0.324374999014396,-0.043777820860682,-0.314847047928871,-0.589788522434585
52,-1.23306626457352,-0.458857473965475,-1.223538313488,-1.00486817553938
53,-0.671366778627808,-0.23532234146716,-0.661838827542283,-0.781333043041062
54,0.0209959747927147,0.457164592587855,0.0305239258782397,-0.0888461089860475
55,-0.112751520406385,0.184025491777295,-0.10322356932086,-0.361985209796607
56,0.885827747297067,1.54317482110179,0.895355698382592,0.997164119527885
57,-0.583129756572855,-0.0726430072051644,-0.57360180548733,-0.618653708779067
58,-0.310551410258427,0.213980789759052,-0.301023459172902,-0.33202991181485
59,-0.722165403836203,-0.178672197917492,-0.712637452750678,-0.724682899491395
60,0.0481781486513085,0.44051998059216,0.0577060997368335,-0.105490720981743
61,-0.227397526620145,0.326592395823881,-0.21786957553462,-0.219418305750021
62,0.126705681875236,0.691243788658579,0.136233632960761,0.145233087084677
63,0.883418552225007,1.10858819356225,0.892946503310532,0.562577491988352
64,-0.171927836911859,0.368476335753072,-0.162399885826334,-0.177534365820831
65,-0.0454898954126766,0.480801783303642,-0.0359619443271516,-0.0652089182702607
66,-0.00168612943321934,0.53039867831282,0.0078418216523057,-0.0156120232610825
67,0.996943439921749,1.41843111686456,1.00647139100727,0.872420415290661
68,-0.335094378400812,0.0961792864714646,-0.325566427315287,-0.449831415102438
69,0.494444102927059,1.10839046828504,0.503972054012584,0.56237976671114
70,0.271617334623365,0.984782545480381,0.28114528570889,0.438771843906479
71,0.139595305499866,0.733982278682629,0.149123256585391,0.187971577108726
72,0.164939413666707,1.26676582865087,0.174467364752232,0.720755127076971
73,0.846375967520813,1.53059087282496,0.855903918606338,0.984580171251058
74,0.84305231578362,1.28721862572095,0.852580266869145,0.741207924147052
75,0.452333544799483,1.21321451264299,0.461861495885008,0.667203811069087
76,-1.12631722228663,-0.46311181025043,-1.11678927120111,-1.00912251182433
77,0.181663140234814,0.831436179023272,0.191191091320339,0.285425477449369
78,0.188144638123719,0.939160481655143,0.197672589209244,0.39314978008124
79,0.213239942310475,0.748841365729205,0.222767893396,0.202830664155303
80,0.00527896545475446,0.678637726901073,0.0148069165402795,0.132627025327171
81,0.25948205755519,0.695217758359691,0.269010008640715,0.149207056785788
82,0.75256052626469,1.15770525891081,0.762088477350215,0.611694557336909
83,0.0106251041076415,0.495234831846263,0.0201530551931665,-0.0507758697276393
84,0.219344267096889,1.00219273911445,0.228872218182414,0.456182037540549
85,-0.543301154361419,0.107774575298934,-0.533773203275894,-0.438236126274968
86,0.0134895906181255,0.627655036637761,0.0230175417036505,0.0816443350638583
87,0.350204436222438,0.580663621270962,0.359732387307963,0.0346529196970599
88,0.52562132088723,1.22554116478724,0.535149271972755,0.679530463213335
89,-0.0925833253296206,0.375746392477446,-0.0830553742440956,-0.170264309096457
90,-0.010504149955348,0.542776061974218,-0.000976198869822961,-0.0032346395996844
91,-1.06487068349381,-0.437441248176671,-1.05534273240828,-0.983451949750573
92,0.639966506598666,1.06119735099014,0.649494457684191,0.515186649416243
93,0.391569768269491,0.950319709844507,0.401097719355016,0.404309008270605
94,-0.0752510151327278,0.715651364633654,-0.0657230640472028,0.169640663059752
95,0.285308429202821,0.675400330300007,0.294836380288346,0.129389628726105
96,0.160325841686039,0.769329508529637,0.169853792771564,0.223318806955734
97,0.0773971519053886,0.593150694044853,0.0869251029909136,0.047139992470951
98,0.904678665120712,1.58292910288609,0.914206616206237,1.03691840131218
99,-0.634765797899161,-0.314072183562929,-0.625237846813636,-0.860082885136831
100,-0.408525120689992,0.171784333783966,-0.398997169604467,-0.374226367789936
101,0.215203973850161,0.705238727209986,0.224731924935686,0.159228025636084
102,0.0469880469265191,0.607648640090872,0.0565159980120441,0.0616379385169692
103,-0.32604107969833,0.240897724043056,-0.316513128612805,-0.305112977530846
104,0.504334187646597,1.14296676423875,0.513862138732122,0.596956062664852
105,0.358171661886031,1.1150812850907,0.367699612971556,0.569070583516797
106,0.594266596102187,1.05247194209205,0.603794547187712,0.506461240518151
107,-0.492957498329897,0.298679542902996,-0.483429547244372,-0.247331158670906
108,-0.962454140096647,-0.254923413974855,-0.952926189011122,-0.800934115548758
109,-0.00478748331649327,0.572847263560889,0.00474046776903177,0.0268365619869868
110,-0.174578762201825,0.319150261373326,-0.1650508111163,-0.226860440200576
111,-0.990459994831429,-0.562319129217079,-0.980932043745904,-1.10832983079098
112,-0.48894916819929,0.0852921945673595,-0.479421217113765,-0.460718507006543
113,-0.0737774133025709,0.553905903566198,-0.0642494622170459,0.0078952019922951
114,-1.0183187369883,-0.146256674308969,-1.00879078590277,-0.692267375882871
115,-1.01201364518005,-0.689076387137137,-1.00248569409453,-1.23508708871104
116,0.450992166778047,1.01875653105255,0.460520117863572,0.472745829478643
117,-0.600198738156266,-0.143955742469522,-0.590670787070741,-0.689966444043424
118,-0.437749020712978,0.303359591705096,-0.428221069627453,-0.242651109868807
119,0.17218544430982,0.718999206020782,0.181713395395345,0.17298850444688
120,-0.668979329416004,-0.0877104833608111,-0.659451378330479,-0.633721184934714
121,-0.4056595645027,0.0852293043746724,-0.396131613417175,-0.46078139719923
122,0.409686362922507,0.921985450159863,0.419214314008032,0.375974748585961
123,-0.383022790538114,0.26128284789304,-0.373494839452589,-0.284727853680862
124,0.406347910196696,0.832360642941503,0.415875861282221,0.286349941367601
125,-1.32485004167215,-0.729553579014514,-1.31532209058663,-1.27556428058842
126,-0.701471868191673,-0.125511584471022,-0.691943917106148,-0.671522286044925
127,0.405274257198556,0.975214978354121,0.414802208284081,0.429204276780219
128,0.291231722391714,0.986092273930935,0.300759673477239,0.440081572357033
129,0.00103778277913307,0.390659699024724,0.0105657338646581,-0.155351002549178
