worker_type,firm_type,A1
0,0,-3.240485135199382
0,1,-1.803090312661453
0,2,-2.1674772371698627
0,3,-2.528088112833523
0,4,-1.6034387534340362
0,5,-2.8715335282657137
0,6,-1.1180404789712377
0,7,-2.4024530419091548
0,8,-2.3099022575123063
0,9,-1.9384846672461906
1,0,-2.34293779596441
1,1,-0.8473356172966744
1,2,-1.2007473089527119
1,3,-1.5417200195468967
1,4,-0.6323967776837305
1,5,-1.8757292893589448
1,6,-0.27770242150281765
1,7,-1.6910587308201275
1,8,-1.3222974441318172
1,9,-1.0129343037360619
2,0,-1.4873661964210925
2,1,-0.09820734065242075
2,2,-0.5141478332818277
2,3,-0.8716098253729099
2,4,0.1881182866095631
2,5,-1.105771088634376
2,6,0.41802940353245155
2,7,-0.8760547656737198
2,8,-0.6511259777559415
2,9,-0.2560641572916406
3,0,-0.8205004395042651
3,1,0.5390704512805712
3,2,0.12195455242377676
3,3,-0.21315023606720881
3,4,0.7281058389532902
3,5,-0.45726868934260906
3,6,1.0666994717812919
3,7,-0.14359017354493997
3,8,-0.062402768792144195
3,9,0.39311302560439737
4,0,0.03472608514782173
4,1,1.1860010847660085
4,2,0.8774227573233397
4,3,0.4738102163324434
4,4,1.493989989510473
4,5,0.1496539767384133
4,6,1.741445481929451
4,7,0.5734839818156224
4,8,0.7151255926099377
4,9,1.1263689645444228
5,0,0.5530005174374392
5,1,2.008195876302528
5,2,1.845345796010163
5,3,1.6127645224641352
5,4,2.5902981063495223
5,5,1.188058123842969
5,6,2.782239478982947
5,7,1.4975417450496558
5,8,1.6350107016696833
5,9,2.1157183798059713
