worker_type,firm_type,S2
0,0,0.20392627851075315
0,1,0.46474886047284886
0,2,0.3258392976534653
0,3,0.3548461514989208
0,4,0.44856430753042675
0,5,0.6590990705147974
0,6,0.46016602270761936
0,7,0.5715598299525357
0,8,0.5223878436798759
0,9,0.4961716079878764
1,0,0.413415806148068
1,1,0.5545036345542099
1,2,0.46027646167276914
1,3,0.4451629855305767
1,4,0.41119997658254254
1,5,0.3998879987253572
1,6,0.363349617375648
1,7,0.41378272630327007
1,8,0.4138148260250746
1,9,0.4188997686840685
2,0,0.35565521355904606
2,1,0.3682719243504686
2,2,0.422663450714828
2,3,0.417654864314511
2,4,0.4713597987368581
2,5,0.4348661790756384
2,6,0.3714131103089598
2,7,0.3554868747395731
2,8,0.37768087420874885
2,9,0.4271735197947323
3,0,0.2933556460789379
3,1,0.36851141451677777
3,2,0.37384415536578514
3,3,0.36199636493419113
3,4,0.3725384016280656
3,5,0.31315004209670716
3,6,0.522334837832782
3,7,0.3207912116191299
3,8,0.3447935210356751
3,9,0.32889519824311103
4,0,0.2900330106385692
4,1,0.36534017624742154
4,2,0.3684044029638654
4,3,0.3057563040759423
4,4,0.34495277557558196
4,5,0.3996282016493968
4,6,0.5036277440903534
4,7,0.33706108575566296
4,8,0.4139424675451722
4,9,0.40276900142217686
5,0,0.3019223718492327
5,1,0.4826433655667322
5,2,0.3828426712891861
5,3,0.4221124706906773
5,4,0.5249804381082331
5,5,0.4751240432870853
5,6,0.5478073966919847
5,7,0.5570018823178016
5,8,0.48906863113421767
5,9,0.5406345218318467
