j,psi
0,-0.41814837018148
1,-0.110286496514231
2,-1.05175738361197
3,-0.833903771511327
4,-0.548981428986506
5,-0.83281060311074
6,-0.0247503144612612
7,0.779651463123096
8,-0.202311970022416
9,0.393013049854174
10,0.369564581240283
11,0.518552695513846
12,-0.566854711560217
13,-0.602654907085076
14,0.834352860054381
15,0.768078966475773
16,-0.0484666773526943
17,0.0663868446202338
18,-0.263120329367906
19,-0.632138578971698
20,0.392625776515222
21,-0.744339618353948
22,-0.212228460264459
23,-0.683416550685872
24,0.404378872107226
25,-0.929092836921702
26,-0.522033349630082
27,0.0690652752495962
28,0.402472426079357
29,-0.970440792927081
30,0.824882968970494
31,0.678001858986961
32,0.411508557084285
33,0.157783353970333
34,-0.172412791065773
35,0.0197245707266029
36,-0.266341678274648
37,-0.078209693894614
38,0.627320695579756
39,-0.248547042016421
40,-0.343926145540147
41,0.341483988315822
42,-0.709476722521883
43,0.00515493613084607
44,0.413628782604703
45,0.327010608815947
46,0.0641354162317613
47,0.104418849574601
48,0.115549891513942
49,0.141965080733145
50,0.26811051948065
51,-0.324374999014396
52,-1.23306626457352
53,-0.671366778627808
54,0.0209959747927147
55,-0.112751520406385
56,0.885827747297067
57,-0.583129756572855
58,-0.310551410258427
59,-0.722165403836203
60,0.0481781486513085
61,-0.227397526620145
62,0.126705681875236
63,0.883418552225007
64,-0.171927836911859
65,-0.0454898954126766
66,-0.00168612943321934
67,0.996943439921749
68,-0.335094378400812
69,0.494444102927059
70,0.271617334623365
71,0.139595305499866
72,0.164939413666707
73,0.846375967520813
74,0.84305231578362
75,0.452333544799483
76,-1.12631722228663
77,0.181663140234814
78,0.188144638123719
79,0.213239942310475
80,0.00527896545475446
81,0.25948205755519
82,0.75256052626469
83,0.0106251041076415
84,0.219344267096889
85,-0.543301154361419
86,0.0134895906181255
87,0.350204436222438
88,0.52562132088723
89,-0.0925833253296206
90,-0.010504149955348
91,-1.06487068349381
92,0.639966506598666
93,0.391569768269491
94,-0.0752510151327278
95,0.285308429202821
96,0.160325841686039
97,0.0773971519053886
98,0.904678665120712
99,-0.634765797899161
100,-0.408525120689992
101,0.215203973850161
102,0.0469880469265191
103,-0.32604107969833
104,0.504334187646597
105,0.358171661886031
106,0.594266596102187
107,-0.492957498329897
108,-0.962454140096647
109,-0.00478748331649327
110,-0.174578762201825
111,-0.990459994831429
112,-0.48894916819929
113,-0.0737774133025709
114,-1.0183187369883
115,-1.01201364518005
116,0.450992166778047
117,-0.600198738156266
118,-0.437749020712978
119,0.17218544430982
120,-0.668979329416004
121,-0.4056595645027
122,0.409686362922507
123,-0.383022790538114
124,0.406347910196696
125,-1.32485004167215
126,-0.701471868191673
127,0.405274257198556
128,0.291231722391714
129,0.00103778277913307
130,-0.190424466008048
131,-0.226439174534211
132,-0.0059569096753347
133,0.656582953061655
134,-0.227138032429659
135,0.663757679265644
136,-0.976118961693366
137,0.0567689602720744
138,0.97317653445804
139,0.25880186443384
140,-0.744708039813376
141,0.693194802831818
142,-0.483280283482613
143,0.0767377500748686
144,0.557547849203112
145,-0.403847698511329
146,-0.0912732991143429
147,-0.655636296345473
148,0.421369198891991
149,0.076295264493462
150,0.217572384817066
151,-0.395914380714417
152,-0.357451628805958
153,-0.150096423377769
154,-0.173076149594613
155,-0.173428474790325
156,-0.268016721660846
157,0.205333519208887
158,-0.219663160904696
159,-0.322988693601586
160,-0.763918937976516
161,0.61371402185206
162,-1.0321492261225
